ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,domain_without_www
FR0218,Université de Rouen,public,University,No,www.univ-rouen.fr,FRD2,Haute-Normandie ,Haute-Normandie ,FRD22,Seine-Maritime,Seine-Maritime,univ-rouen.fr
FR0219,École supérieure d'ingénieurs en génie électrique,private,Other,No,www.esigelec.fr,FRD2,Haute-Normandie ,Haute-Normandie ,FRD22,Seine-Maritime,Seine-Maritime,esigelec.fr
FR0220,Université du Havre,public,University,No,www.univ-lehavre.fr,FRD2,Haute-Normandie ,Haute-Normandie ,FRD22,Seine-Maritime,Seine-Maritime,univ-lehavre.fr
FR0221,École supérieure d’ingénieurs et de techniciens pour l’agriculture,private,Other,No,www.esitpa.org,FRD2,Haute-Normandie ,Haute-Normandie ,FRD22,Seine-Maritime,Seine-Maritime,esitpa.org
FR0223,Université Paris-Est Marne-la-Vallée,public,University,No,www.u-pem.fr,FR10,Ile-de-France,Ile-de-France,FR102,Seine-et-Marne ,Seine-et-Marne ,u-pem.fr
FR0224,École nationale des ponts et chaussées,public,Other,Yes,www.enpc.fr,FR10,Ile-de-France,Ile-de-France,FR102,Seine-et-Marne ,Seine-et-Marne ,enpc.fr
FR0225,École d'architecture de la ville et des territoires à Marne-la-Vallée,public,Other,No,www.marnelavallee.archi.fr,FR10,Ile-de-France,Ile-de-France,FR102,Seine-et-Marne ,Seine-et-Marne ,marnelavallee.archi.fr
FR0226,Université Paris-Est,public,University,No,www.paris-est-sup.fr,FR10,Ile-de-France,Ile-de-France,FR102,Seine-et-Marne ,Seine-et-Marne ,paris-est-sup.fr
FR0227,École nationale supérieure d’architecture de Versailles,public,Other,No,www.versailles.archi.fr,FR10,Ile-de-France,Ile-de-France,FR103,Yvelines ,Yvelines ,versailles.archi.fr
FR0228,École des beaux-arts de Versailles,public,Other,No,www.versailles.fr,FR10,Ile-de-France,Ile-de-France,FR103,Yvelines ,Yvelines ,versailles.fr
FR0229,Université de Versailles Saint-Quentin-en-Yvelines,public,University,No,www.uvsq.fr,FR10,Ile-de-France,Ile-de-France,FR103,Yvelines ,Yvelines ,uvsq.fr
FR0230,Université de Picardie Jules Verne,public,University,No,www.u-picardie.fr,FRE2,Picardie,Picardie,FRE23,Somme,Somme,u-picardie.fr
FR0231,École Supérieure d'Ingénieurs en Électronique et Électrotechnique Amiens,private,Other,No,www.esiee-amiens.fr,FRE2,Picardie,Picardie,FRE23,Somme,Somme,esiee-amiens.fr
FR0232,École nationale supérieure des mines d'Albi-Carmaux,public,Other,No,www.imt-mines-albi.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ27,Tarn,Tarn,imt-mines-albi.fr
FR0233,Institut national universitaire Jean-François-Champollion,public,University,No,www.univ-jfc.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ27,Tarn,Tarn,univ-jfc.fr
FR0234,Université de Toulon,public,University,No,www.univ-tln.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL05,Var,Var,univ-tln.fr
FR0236,Université d'Avignon,public,University,No,www.univ-avignon.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL06,Vaucluse,Vaucluse,univ-avignon.fr
FR0237,Institut catholique d'études supérieures,private,Other,No,www.ices.fr,FRG0,Pays de la Loire,Pays de la Loire,FRG05,Vendée,Vendée,ices.fr
FR0238,École nationale supérieure de mécanique et d'aérotechnique de Poitiers,public,Other,No,www.ensma.fr,FRI3,Poitou-Charentes,Poitou-Charentes,FRI34,Vienne,Vienne,ensma.fr
FR0239,Université de Poitiers,public,University,Yes,www.univ-poitiers.fr,FRI3,Poitou-Charentes,Poitou-Charentes,FRI34,Vienne,Vienne,univ-poitiers.fr
FR0240,Université de Limoges,public,University,No,www.unilim.fr,FRI2,Limousin,Limousin,FRI23,Haute-Vienne,Haute-Vienne,unilim.fr
FR0242,Institut d'ingénierie informatique de Limoges,private,Other,No,www.3il-ingenieurs.fr,FRI2,Limousin,Limousin,FRI23,Haute-Vienne,Haute-Vienne,3il-ingenieurs.fr
FR0243,Université de technologie de Belfort-Montbéliard,public,Other,No,www.utbm.fr,FRC2,Franche-Comté,Franche-Comté,FRC24,Territoire de Belfort,Territoire de Belfort,utbm.fr
FR0247,École polytechnique,public,Other,No,www.polytechnique.edu,FR10,Ile-de-France,Ile-de-France,FR104,Essonne,Essonne,polytechnique.edu
FR0248,Télécom SudParis,public,Other,No,www.telecom-sudparis.eu,FR10,Ile-de-France,Ile-de-France,FR104,Essonne,Essonne,telecom-sudparis.eu
FR0249,Université d'Évry-Val d'Essonne,public,University,No,www.univ-evry.fr,FR10,Ile-de-France,Ile-de-France,FR104,Essonne,Essonne,univ-evry.fr
FR0250,Institut Mines-Télécom Business School,public,Other,No,www.imt-bs.eu,FR10,Ile-de-France,Ile-de-France,FR104,Essonne,Essonne,imt-bs.eu
FR0251,École nationale supérieure d'informatique pour l'industrie et l'entreprise,public,Other,No,www.ensiie.fr,FR10,Ile-de-France,Ile-de-France,FR104,Essonne,Essonne,ensiie.fr
FR0252,École nationale supérieure de techniques avancées,public,Other,No,www.ensta-paristech.fr,FR10,Ile-de-France,Ile-de-France,FR104,Essonne,Essonne,ensta-paristech.fr
FR0253,EPF - École d'ingénieurs,private,Other,No,www.epf.fr,FR10,Ile-de-France,Ile-de-France,FR105,Hauts-de-Seine ,Hauts-de-Seine ,epf.fr
FR0254,École nationale supérieure du pétrole et des moteurs,public,Other,No,www.ifp-school.com,FR10,Ile-de-France,Ile-de-France,FR105,Hauts-de-Seine ,Hauts-de-Seine ,ifp-school.com
FR0255,Université Paris Nanterre,public,University,Yes,www.parisnanterre.fr,FR10,Ile-de-France,Ile-de-France,FR105,Hauts-de-Seine ,Hauts-de-Seine ,parisnanterre.fr
FR0257,École Nationale de la Statistique et de l’Administration Économique,public,Other,No,www.ensae.fr,FR10,Ile-de-France,Ile-de-France,FR104,Essonne,Essonne,ensae.fr
FR0258,École supérieure des techniques aéronautiques et de construction automobile,private,Other,No,www.estaca.fr,FR10,Ile-de-France,Ile-de-France,FR103,Yvelines ,Yvelines ,estaca.fr
FR0259,École supérieure d'ingénieurs Léonard-de-Vinci,private,Other,No,www.esilv.fr,FR10,Ile-de-France,Ile-de-France,FR105,Hauts-de-Seine ,Hauts-de-Seine ,esilv.fr
FR0260,École nationale supérieure maritime,public,Other,No,www.supmaritime.fr,FRD2,Haute-Normandie ,Haute-Normandie ,FRD22,Seine-Maritime,Seine-Maritime,supmaritime.fr
FR0261,Institut supérieur de mécanique de Paris,public,Other,No,www.supmeca.fr,FR10,Ile-de-France,Ile-de-France,FR106,Seine-Saint-Denis ,Seine-Saint-Denis ,supmeca.fr
FR0262,Université Paris 13 - Paris Nord,public,University,No,www.univ-paris13.fr,FR10,Ile-de-France,Ile-de-France,FR106,Seine-Saint-Denis ,Seine-Saint-Denis ,univ-paris13.fr
FR0263,Université Paris 8 - Vincennes - Saint-Denis,public,University,Yes,www.univ-paris8.fr,FR10,Ile-de-France,Ile-de-France,FR106,Seine-Saint-Denis ,Seine-Saint-Denis ,univ-paris8.fr
FR0264,École Supérieure d'Ingénieurs en Électronique et Électrotechnique Paris,private,Other,No,www.esiee.fr,FR10,Ile-de-France,Ile-de-France,FR106,Seine-Saint-Denis ,Seine-Saint-Denis ,esiee.fr
FR0266,Université Paris-Est Créteil Val-de-Marne,public,University,No,www.u-pec.fr,FR10,Ile-de-France,Ile-de-France,FR107,Val-de-Marne,Val-de-Marne,u-pec.fr
FR0267,École d'ingénieur généraliste en informatique et technologies du numérique,private,Other,No,www.efrei.fr,FR10,Ile-de-France,Ile-de-France,FR107,Val-de-Marne,Val-de-Marne,efrei.fr
FR0268,ESME Sudria,private,Other,No,www.esme.fr,FR10,Ile-de-France,Ile-de-France,FR107,Val-de-Marne,Val-de-Marne,esme.fr
FR0269,École supérieure d'ingénieurs des travaux de la construction de Paris,private,Other,No,www.esitc-paris.fr,FR10,Ile-de-France,Ile-de-France,FR107,Val-de-Marne,Val-de-Marne,esitc-paris.fr
FR0270,École pour l'informatique et les techniques avancées,private,Other,No,www.epita.fr,FR10,Ile-de-France,Ile-de-France,FR107,Val-de-Marne,Val-de-Marne,epita.fr
FR0271,Institut polytechnique des sciences avancées,private,Other,No,www.ipsa.fr,FR10,Ile-de-France,Ile-de-France,FR107,Val-de-Marne,Val-de-Marne,ipsa.fr
FR0272,"École spéciale des travaux publics, du bâtiment et de l'industrie",private,Other,No,www.estp.fr,FR10,Ile-de-France,Ile-de-France,FR107,Val-de-Marne,Val-de-Marne,estp.fr
FR0273,École nationale supérieure de l'électronique et de ses applications de Cergy,public,Other,No,www.ensea.fr,FR10,Ile-de-France,Ile-de-France,FR108,Val-d’Oise,Val-d’Oise,ensea.fr
FR0276,École d'ingénieur d'agro-développement international,private,Other,No,www.istom.fr,FRG0,Pays de la Loire,Pays de la Loire,FRG02,Maine-et-Loire,Maine-et-Loire,istom.fr
FR0277,Institut libre d'éducation physique supérieur,private,Other,No,www.ileps.org,FR10,Ile-de-France,Ile-de-France,FR108,Val-d’Oise,Val-d’Oise,ileps.org
FR0278,ECAM - EPMI Graduate School of Engineering,private,Other,No,www.ecam-epmi.fr,FR10,Ile-de-France,Ile-de-France,FR108,Val-d’Oise,Val-d’Oise,ecam-epmi.fr
FR0279,École de biologie industrielle,private,Other,No,ebi-edu.com,FR10,Ile-de-France,Ile-de-France,FR108,Val-d’Oise,Val-d’Oise,ebi-edu.com
FR0280,Institut régional d'administration de Bastia,public,Other,No,ira-bastia.gouv.fr,FRM0,Corse,Corse,FRM02,Haute-Corse,Haute-Corse,ira-bastia.gouv.fr
FR0281,Université de Corse Pasquale Paoli,public,University,No,www.univ-corse.fr,FRM0,Corse,Corse,FRM02,Haute-Corse,Haute-Corse,univ-corse.fr
FR0282,Université des Antilles,public,University,No,www.univ-antilles.fr,FRY1,Guadeloupe,Guadeloupe,FRY10,Guadeloupe,Guadeloupe,univ-antilles.fr
FR0283,Université de La Réunion,public,University,No,www.univ-reunion.fr,FRY4,La Réunion ,La Réunion ,FRY40,La Réunion,La Réunion,univ-reunion.fr
FR0285,Université de la Nouvelle-Calédonie,public,University,No,unc.nc,FRZZ,Extra-Regio NUTS 2,Extra-Regio NUTS 2,FRZZZ,Extra-Regio NUTS 3,Extra-Regio NUTS 3,unc.nc
FR0286,Université de la Polynésie Française,public,University,No,www.upf.pf,FRZZ,Extra-Regio NUTS 2,Extra-Regio NUTS 2,FRZZZ,Extra-Regio NUTS 3,Extra-Regio NUTS 3,upf.pf
FR0287,Centre Universitaire de Mayotte,public,University,No,www.univ-mayotte.fr,FRZZ,Extra-Regio NUTS 2,Extra-Regio NUTS 2,FRZZZ,Extra-Regio NUTS 3,Extra-Regio NUTS 3,univ-mayotte.fr
FR0288,Université de Bordeaux,public,University,Yes,www.u-bordeaux.fr,FRI1,Aquitaine,Aquitaine,FRI12,Gironde,Gironde,u-bordeaux.fr
FR0319,Institut national des sciences appliquées Centre Val de Loire,public,Other,No,www.insa-centrevaldeloire.fr,FRB0,Centre — Val de Loire,Centre — Val de Loire,FRB01,Cher,Cher,insa-centrevaldeloire.fr
FR0320,École normale supérieure de Rennes,public,Other,No,www.ens-rennes.fr,FRH0,Bretagne,Bretagne,FRH03,Ille-et-Vilaine,Ille-et-Vilaine,ens-rennes.fr
FR0323,Université de Montpellier,public,University,Yes,www.umontpellier.fr,FRJ1,Languedoc-Roussillon,Languedoc-Roussillon,FRJ13,Hérault,Hérault,umontpellier.fr
FR0327,Université de Guyane,public,University,No,www.univ-guyane.fr,FRY3,Guyane,Guyane,FRY30,Guyane,Guyane,univ-guyane.fr
FR0328,VetAgro Sup Marcy-l'Étoile,public,Other,No,www.vetagro-sup.fr,FRK2,Rhône-Alpes,Rhône-Alpes,FRK26,Rhône,Rhône,vetagro-sup.fr
FR0329,École nationale vétérinaire de Toulouse,public,Other,No,www.envt.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ23,Haute-Garonne,Haute-Garonne,envt.fr
FR0330,École nationale vétérinaire d'Alfort,public,Other,No,www.vet-alfort.fr,FR10,Ile-de-France,Ile-de-France,FR107,Val-de-Marne,Val-de-Marne,vet-alfort.fr
FR0331,"École nationale vétérinaire, agroalimentaire et de l'alimentation, Nantes-Atlantique",public,Other,No,www.oniris-nantes.fr,FRG0,Pays de la Loire,Pays de la Loire,FRG01,Loire-Atlantique,Loire-Atlantique,oniris-nantes.fr
FR0332,École nationale supérieure de paysage de Versailles,public,Other,No,www.ecole-paysage.fr,FR10,Ile-de-France,Ile-de-France,FR103,Yvelines ,Yvelines ,ecole-paysage.fr
FR0333,École catholique d'arts et métiers Strasbourg-Europe,private,Other,No,www.icam.fr,FRF1,Alsace,Alsace,FRF11,Bas-Rhin,Bas-Rhin,ecam-strasbourg.eu
FR0336,Facultés libres de philosophie et de psychologie,private,Other,No,ipc-paris.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,ipc-paris.fr
FR0338,École supérieure d'art Annecy Alpes,public,Other,No,www.esaaa.fr,FRK2,Rhône-Alpes,Rhône-Alpes,FRK28,Haute-Savoie,Haute-Savoie,esaaa.fr
FR0339,Centre Sèvres,private,Other,No,centresevres.com,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,centresevres.com
FR0340,Ecole nationale supérieure d'art Villa d'Arson,public,Other,No,www.villa-arson.org,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL03,Alpes-Maritimes,Alpes-Maritimes,villa-arson.org
FR0341,École supérieure d'art et de design d'Amiens,public,Other,No,www.esad-amiens.fr,FRE2,Picardie,Picardie,FRE23,Somme,Somme,esad-amiens.fr
FR0342,Institut supérieur des beaux-arts de Besançon Franche-Comté,public,Other,No,www.isba-besancon.fr,FRC2,Franche-Comté,Franche-Comté,FRC21,Doubs,Doubs,isba-besancon.fr
FR0343,École des Mines Télécom Atlantique,public,University of applied sciences,No,www.imt-atlantique.fr,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,imt-atlantique.fr
FR0344,Université Lasalle,private,University of applied sciences,No,www.unilasalle.fr,FRE2,Picardie,Picardie,FRE22,Oise,Oise,unilasalle.fr
FR0345,École supérieure d'art du Nord-Pas de Calais / Dunkerque-Tourcoing,public,Other,No,www.esa-n.info,FRE1,Nord-Pas de Calais,Nord-Pas de Calais,FRE11,Nord,Nord,esa-n.info
FR0346,Université de Lille,public,University,No,www.univ-lille.fr,FRE1,Nord-Pas de Calais,Nord-Pas de Calais,FRE11,Nord,Nord,univ-lille.fr
FR0347,Sorbonne Université,public,University,Yes,www.sorbonne-universite.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,sorbonne-universite.fr
FR0355,Institut supérieur européen de formation par l'action,private,Other,No,www.isefac.org,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,isefac.org
FR0356,Epitech,private,Other,No,www.epitech.eu,FR10,Ile-de-France,Ile-de-France,FR107,Val-de-Marne,Val-de-Marne,epitech.eu
FR0358,E-artsup,private,Other,No,www.e-artsup.net,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,e-artsup.net
FR0364,Université Côte d'Azur,public,University,Yes,www.univ-cotedazur.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL03,Alpes-Maritimes,Alpes-Maritimes,univ-cotedazur.fr
FR0365,Université Paris Cité,public,University,Yes,u-paris.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,u-paris.fr
FR0366,CY Cergy Paris Université,public,University,Yes,www.cyu.fr,FR10,Ile-de-France,Ile-de-France,FR108,Val-d’Oise,Val-d’Oise,cyu.fr
FR0367,EPE université Grenoble Alpes,public,University,Yes,www.univ-grenoble-alpes.fr,FRK2,Rhône-Alpes,Rhône-Alpes,FRK24,Isère,Isère,univ-grenoble-alpes.fr
FR0369,Université Paris-saclay,public,University,Yes,www.universite-paris-saclay.fr,FR10,Ile-de-France,Ile-de-France,FR104,Essonne,Essonne,universite-paris-saclay.fr
FR0401,École des hautes études commerciales de Paris,private,Other,No,www.hec.fr,FR10,Ile-de-France,Ile-de-France,FR103,Yvelines ,Yvelines ,hec.fr
FR0402,Grenoble École de management,private,Other,No,www.grenoble-em.com,FRK2,Rhône-Alpes,Rhône-Alpes,FRK24,Isère,Isère,grenoble-em.com
FR0403,Audencia Nantes Ecole de management,private,Other,No,www.audencia.com,FRG0,Pays de la Loire,Pays de la Loire,FRG01,Loire-Atlantique,Loire-Atlantique,audencia.com
FR0404,Institut d'Économie Scientifique et de Gestion,private,Other,No,www.ieseg.fr,FRE1,Nord-Pas de Calais,Nord-Pas de Calais,FRE11,Nord,Nord,ieseg.fr
FR0405,Neoma business school,private,Other,No,www.neoma-bs.fr,FRD2,Haute-Normandie ,Haute-Normandie ,FRD22,Seine-Maritime,Seine-Maritime,neoma-bs.fr
FR0408,Kedge business school,private,Other,No,kedge.edu,FRI1,Aquitaine,Aquitaine,FRI12,Gironde,Gironde,kedge.edu
FR0411,École supérieure de commerce d’Amiens,private,Other,No,www.esc-amiens.com,FRE2,Picardie,Picardie,FRE23,Somme,Somme,esc-amiens.com
FR0412,École supérieure des technologies et des affaires de Belfort,private,Other,No,www.esta-groupe.fr,FRC2,Franche-Comté,Franche-Comté,FRC24,Territoire de Belfort,Territoire de Belfort,esta-groupe.fr
FR0413,École de commerce européenne,private,Other,No,ece.inseec.com,FRK2,Rhône-Alpes,Rhône-Alpes,FRK26,Rhône,Rhône,ece.inseec.com
FR0414,École supérieure de commerce de Pau,private,Other,No,www.esc-pau.fr,FRI1,Aquitaine,Aquitaine,FRI15,Pyrénées-Atlantiques,Pyrénées-Atlantiques,esc-pau.fr
FR0415,Sud Management - EGC Agen,private,Other,No,www.sudmanagement.fr,FRI1,Aquitaine,Aquitaine,FRI14,Lot-et-Garonne,Lot-et-Garonne,sudmanagement.fr
FR0416,École de gestion et de commerce de Normandie,private,Other,No,www.egcnormandie.fr,FRD1,Basse-Normandie ,Basse-Normandie ,FRD12,Manche ,Manche ,egcnormandie.fr
FR0417,École supérieure de commerce de Clermont-Ferrand,private,Other,No,www.esc-clermont.fr,FRK1,Auvergne,Auvergne,FRK14,Puy-de-Dôme,Puy-de-Dôme,esc-clermont.fr
FR0418,Institut Européen d'Administration des Affaires,private,Other,No,www.insead.edu,FR10,Ile-de-France,Ile-de-France,FR102,Seine-et-Marne ,Seine-et-Marne ,insead.edu
FR0419,École supérieure de commerce de Dijon-Bourgogne,private,Other,No,www.bsb-education.com,FRC1,Bourgogne,Bourgogne,FRC11,Côte-d’Or,Côte-d’Or,bsb-education.com
FR0420,École de gestion et de commerce de Valence,private,Other,No,ecole-commerce-valence.fr,FRK2,Rhône-Alpes,Rhône-Alpes,FRK23,Drôme,Drôme,ecole-commerce-valence.fr
FR0421,Ecole de gestion et de commerce de La Réunion,private,Other,No,www.egc-reunion.re,FRZZ,Extra-Regio NUTS 2,Extra-Regio NUTS 2,FRZZZ,Extra-Regio NUTS 3,Extra-Regio NUTS 3,egc-reunion.re
FR0422,École des hautes études commerciales du nord,private,Other,No,www.edhec.edu,FRE1,Nord-Pas de Calais,Nord-Pas de Calais,FRE11,Nord,Nord,edhec.edu
FR0423,SKEMA Business School,private,Other,No,www.skema.edu,FRE1,Nord-Pas de Calais,Nord-Pas de Calais,FRE11,Nord,Nord,skema.edu
FR0424,"Ecole Supérieure de Commerce et Développement – Afrique, Amériques, Asie",private,Other,No,www.ecole3a.edu,FRK2,Rhône-Alpes,Rhône-Alpes,FRK26,Rhône,Rhône,ecole3a.edu
FR0426,Institut de recherche et d’action commerciale,private,Other,No,www.idrac-business-school.com,FRK2,Rhône-Alpes,Rhône-Alpes,FRK26,Rhône,Rhône,idrac-business-school.com
FR0428,Montpellier Business School,private,Other,No,www.montpellier-bs.com,FRJ1,Languedoc-Roussillon,Languedoc-Roussillon,FRJ13,Hérault,Hérault,montpellier-bs.com
FR0429,ICN Nancy-Metz Ecole de management,private,Other,No,www.icn-artem.com,FRF3,Lorraine,Lorraine,FRF31,Meurthe-et-Moselle ,Meurthe-et-Moselle ,icn-artem.com
FR0430,Ecole de gestion et de commerce de Vendée,private,Other,No,www.egc-vendee.fr,FRG0,Pays de la Loire,Pays de la Loire,FRG05,Vendée,Vendée,egc-vendee.fr
FR0431,Ecole supérieure des sciences commerciales d’Angers,private,Other,No,www.essca.fr,FRG0,Pays de la Loire,Pays de la Loire,FRG02,Maine-et-Loire,Maine-et-Loire,essca.fr
FR0434,Ecole européenne de management,private,Other,No,www.ebs-paris.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,ebs-paris.fr
FR0435,Ecole supérieure du commerce extérieur,private,Other,No,www.esce.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,esce.fr
FR0437,Ecole Ferrandi Paris,private,Other,No,www.ferrandi-paris.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,ferrandi-paris.fr
FR0439,Institut des hautes études économiques et commerciales,private,Other,No,www.inseec-bs.com,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,inseec-bs.com
FR0440,Institut de préparation à l’administration et à la gestion,private,Other,No,www.ipag.edu,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,ipag.edu
FR0442,Institut Superieur de Gestion,private,Other,No,www.isg.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,isg.fr
FR0443,"Institut supérieur privé des sciences, techniques et économie commerciales",private,Other,No,istec.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,istec.fr
FR0444,Institut Français de la Mode,private,Other,No,www.ifm-paris.com,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,ifm-paris.com
FR0445,PSB Paris School of Business,private,Other,No,www.psbedu.paris,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,psbedu.paris
FR0446,Excelia Group,private,Other,No,www.excelia-group.com,FRI3,Poitou-Charentes,Poitou-Charentes,FRI32,Charente-Maritime,Charente-Maritime,excelia-group.com
FR0447,Y Schools,private,Other,No,www.yschools.fr,FRF2,Champagne-Ardenne,Champagne-Ardenne,FRF22,Aube,Aube,yschools.fr
FR0448,Brest Business School,private,Other,No,international.brest-bs.com,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,international.brest-bs.com
FR0449,Rennes School of Business,private,Other,No,www.rennes-sb.fr,FRH0,Bretagne,Bretagne,FRH03,Ille-et-Vilaine,Ille-et-Vilaine,rennes-sb.fr
FR0450,École de Management de Normandie,private,Other,No,www.em-normandie.com,FRD2,Haute-Normandie ,Haute-Normandie ,FRD22,Seine-Maritime,Seine-Maritime,em-normandie.com
FR0452,Ecole de gestion et de commerce d’Occitanie,private,Other,No,www.egc-occitanie.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ22,Aveyron,Aveyron,egc-occitanie.fr
FR0454,Ecole des dirigeants et créateurs d'entreprise,private,Other,No,www.edcparis.edu,FR10,Ile-de-France,Ile-de-France,FR105,Hauts-de-Seine ,Hauts-de-Seine ,edcparis.edu
FR0456,Ecole supérieure des sciences économiques et commerciales,private,Other,No,www.essec.edu,FR10,Ile-de-France,Ile-de-France,FR108,Val-d’Oise,Val-d’Oise,essec.edu
FR0459,Institut polytechnique de Paris,public,Other,Yes,www.ip-paris.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,ip-paris.fr
FR0462,Eurecom,public,Other,No,www.eurecom.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL03,Alpes-Maritimes,Alpes-Maritimes,eurecom.fr
FR0463,Institut National des Sciences Appliquées Hauts-de-France,public,University of applied sciences,No,www.insa-hautsdefrance.fr,FRE1,Nord-Pas de Calais,Nord-Pas de Calais,FRE11,Nord,Nord,insa-hautsdefrance.fr
FR0465,Ecole Nationale des Sciences Géographiques,public,Other,No,www.ensg.eu,FR10,Ile-de-France,Ile-de-France,FR102,Seine-et-Marne ,Seine-et-Marne ,ensg.eu
FR0466,Institut national polytechnique Clermont-Auvergne,public,University of applied sciences,No,www.clermont-auvergne-inp.fr,FRK1,Auvergne,Auvergne,FRK14,Puy-de-Dôme,Puy-de-Dôme,polytech.univ-bpclermont.fr
FR0468,Université Paris sciences et lettres,public,University,No,psl.eu,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,psl.eu
FR0501,École de commerce spécialisée en marketing et management,private,Other,No,www.esgci.com,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,esgci.com
FR0502,Ecole de Commmerce Montpellier,private,Other,No,www.esg.fr,FRJ1,Languedoc-Roussillon,Languedoc-Roussillon,FRJ13,Hérault,Hérault,esg.fr
FR0504,Ecole de gestion et finance Paris,private,Other,No,www.esgf.com,FR10,Ile-de-France,Ile-de-France,FR105,Hauts-de-Seine ,Hauts-de-Seine ,esgf.com
FR0506,Ecole de Gestion en Ressources Humaines,private,Other,No,www.esgrh.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,esgrh.fr
FR0507,Ecole supérieure de Communication et de Publicité,private,Other,No,www.iscom.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,iscom.fr
FR0508,Sup Career Alternance,private,Other,No,www.supcareer.com,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,supcareer.com
FR0509,ESI Business School,private,Other,No,www.esi-business-school.com,FR10,Ile-de-France,Ile-de-France,FR105,Hauts-de-Seine ,Hauts-de-Seine ,esi-business-school.com
FR0510,École interarmées des sports,private,Other,No,www.terre.defense.gouv.fr,FR10,Ile-de-France,Ile-de-France,FR102,Seine-et-Marne ,Seine-et-Marne ,terre.defense.gouv.fr
FR0514,Institut supérieur européen de gestion Paris,private,Other,No,www.iseg.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,iseg.fr
FR0515,Institut Paul Bocuse,private,Other,No,en.institutlyfe.com,FRK2,Rhône-Alpes,Rhône-Alpes,FRK26,Rhône,Rhône,en.institutlyfe.com
FR0516,ESLSCA Business School,private,Other,No,www.eslsca.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,eslsca.fr
FR0809,Comue Université Bourgogne Franche-Comté,public,University,No,www.ubfc.fr,FRC2,Franche-Comté,Franche-Comté,FRC21,Doubs,Doubs,ubfc.fr
FR0864,Institut d'études politiques de Lyon,public,University of applied sciences,Yes,www.sciencespo-lyon.fr,FRK2,Rhône-Alpes,Rhône-Alpes,FRK26,Rhône,Rhône,sciencespo-lyon.fr
FR0866,Institut d'études politiques de Lille,public,University of applied sciences,No,www.sciencespo-lille.eu,FRE1,Nord-Pas de Calais,Nord-Pas de Calais,FRE11,Nord,Nord,sciencespo-lille.eu
FR0867,Université Gustave-Eiffel,public,University,No,www.univ-gustave-eiffel.fr,FR10,Ile-de-France,Ile-de-France,FR102,Seine-et-Marne ,Seine-et-Marne ,univ-gustave-eiffel.fr
FR0877,Institut d'études politiques de Rennes,public,University of applied sciences,No,www.sciencespo-rennes.fr,FRH0,Bretagne,Bretagne,FRH03,Ille-et-Vilaine,Ille-et-Vilaine,sciencespo-rennes.fr
FR0883,Institut national des sciences et techniques nucléaires,public,Other,No,instn.cea.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,www-instn.cea.fr
FR0888,Institut National du Patrimoine,public,Other,No,www.inp.fr,FR10,Ile-de-France,Ile-de-France,FR101,Paris,Paris,inp.fr
